原单词,词性,中文释义
crazy,a.,疯狂的
cream,n.,"奶油,乳脂"
create,vt.,创造; 造成
creature,n.,"生物,动物,人"
credit,n.,信用;信赖;信誉
crew,n.,全体船员
criminal,n.,罪犯
criterion,n.,"标准,准则"
crop,n.,庄稼;收成
cross 1,a.,"脾气不好的,易怒的"
cross 2,n.,十字形的东西
cross 2,vt.,越过;穿过
crossing,n.,"十字路口,人行横道"
crossroads,n.,交*路口
crowd,n.,人群
crowd,vt.,"拥挤,群聚"
cruel,a.,"残忍的,残酷的;无情的"
cry,n.,叫喊;哭声
cry,v.,喊叫;哭
cube,n.,立方体
cuisine,n.,烹饪
culture,n.,"文化,教养,种植"
cup,n.,茶杯
cupboard,n.,碗柜;橱柜
curious,a.,好奇的;奇异的
currency,n.,货币;现金
curriculum,n.,课程，全部课程
curtain,n.,窗帘
cushion,n.,垫子
custom,n.,"习惯,习俗,风俗习惯"
customer,n.,"(商店等的)顾客,主顾"
customs,n.,"海关,关税"
cut,v.,"切,剪,削,割"
cut,n.,伤口
cycle,vi.,骑自行车
cyclist,n.,骑自行车的人
daily,a.,每日的;日常的
daily,ad.,每天
daily,n.,日报
dam,n.,"水坝,堰堤"
danger,n.,危险
dangerous,a.,危险的
dark,n.,黑暗;暗处;日暮
dark,a.,黑暗的;暗淡的;深色的
darkness,n.,"黑暗,阴暗"
data,n.,"资料,数据"
database,n.,"资料库,数据库"
date 1,n.,日期;约会
daughter,n.,女儿
dawn,n.,"黎明,拂晓"
dead,a.,死的;无生命的
deal,n.,"量,数额;交易"
dear 1,int.,(表示惊愕等)哎呀！唷！
dear 2,a.,亲爱的; 贵的
death,n.,死
december,n.,12月
debt,n.,债务; 欠款
decade,n.,十年
decide,v.,决定; 下决心
decision,n.,决定; 决心
declare,vt.,声明;断言
decline,v.,"降低,婉谢"
decrease,n.,"减少,减少之量"
decrease,v.,减少
deed,n.,行为;事迹
deep,a.,深
deep,ad.,深;深厚
deer,n.,鹿
defeat,vt.,击败;战胜
defend,vt.,防守;保卫
degree,n.,程度;度数;学位
deliberately,ad.,故意地
delicate,a.,"细致优雅的,微妙的,美味的"
delicious,a.,"美味的,可口的"
delight,n.,快乐; 乐事
delighted,a.,"高兴的,快乐的"
deliver,vt.,"投递(信件,邮包等)"
demand,vt.,要求
dentist,n.,牙科医生 
departure,n.,"离开,启程"
depend,vi.,"依靠,依赖,指望;取决于"
deposit,n.,"存款,定金,堆积物"
depth,n.,"深,深度"
describe,vt.,"描写,叙述"
description,n.,"描述,描写"
desert 1,n.,沙漠
desk,n.,"书桌, 写字台"
desperate,a.,"不顾一切的,绝望的"
dessert,n.,甜点
destination,n.,"目的地,终点"
destroy,vt.,"破坏,毁坏"
detective,n.,侦探
determine,vt.,决定;决心
development,n.,"发展,发达,发育,开发"
devote,vt.,把…奉献; 把…专用(于)
devotion,n.,"奉献,奉献精神"
diagram,n.,"图表,图样"
dial,vt.,拨(电话号码)
diamond,n.,"钻石,金刚石;纸牌中的方块"
diary,n.,日记;日记簿
dictation,n.,听写
dictionary,n.,"词典,字典"
die,v.,死
diet,n.,饮食
differ,v.,"相异,有区别"
difference,n.,不同
different,a.,"不同的,有差异的"
difficult,a.,难的;艰难的;不易相处的
difficulty,n.,"困难,费力"
dig,v.,挖(洞、沟等);掘
digest,v.,消化; 领会
dignity,n.,尊严
dilemma,n.,"困境,进退两难"
dimension,n.,"尺寸,次元,容积,维度"
dinner,n.,"正餐,宴会"
dinosaur,n.,恐龙
dioxide,n.,二氧化物
dip,vt.,"浸,蘸;把…放入又取出"
diploma,n.,毕业文凭;学位证书
direct,a.,直接的;直达的;直截了当的
direct,vt.,"指挥;指导;监督;管理;指挥,导演(电影)"
direction,n.,方向;方位
director,n.,"所长,处长,主任;董事;导演"
directory,n.,姓名地址录
dirt,n.,污物;脏物
dirty,a.,脏的
disability,n.,残疾;无能
disabled,a.,"残废的,残疾的"
disadvantage,n.,不利条件;弱点
disagree,vi.,"意见不一致,持不同意见"
disagreement,n.,意见不一致;相违;争论
disappear,vi.,消失
disappoint,vt.,使失望
disappointment,n.,失望;沮丧
disaster,n.,灾难;祸患
discount,n.,折扣
discover,vt.,发现
discovery,n.,发现
discrimination,n.,歧视
discuss,vt.,"讨论,议论"
discussion,n.,"讨论,辩论"
disease,n.,"病,疾病"
disgusting,a.,令人厌恶
dish,n.,"盘,碟;盘装菜;盘形物"
dislike,v.,"不喜欢,厌恶"
dismiss,vt.,让…离开;遣散;解散;解雇
distance,n.,距离
distant,a.,"远的,遥远的"
distinguish,v.,"区别,辨别,表现突出"
distribute,v.,"分配,散布"
district,n.,区;地区;区域
disturb,vt.,扰乱;打扰
disturbing,a.,烦扰的
dive,vi.,跳水
diverse,a.,"不同的,相异的,多种多样的"
divide,vt.,"分,划分"
divorce,n.,离婚
divorce,v.,与...办离婚
dizzy,a.,头眩目晕的
doctor,n.,"医生,大夫;博士"
document,n.,文件;文献
dog,n.,狗
doll,n.,"玩偶,玩具娃娃"
dollar,n.,元(美国、加拿大等国货币单位)
donate,v.,捐赠
door,n.,门
dormitory,n.,学生宿舍(缩dorm)
dot,n.,"点,小点,圆点"
double,a.,两倍的;双的
double,n.,两个;双
down,prep.,"沿着,沿…而下"
down,ad.,向下
downstairs,ad.,在楼下;到楼下
downtown,ad.,往或在城市的商业区
downtown,n.,"城市的商业区,中心区,闹市区"
dozen,n.,"十二个;几十,许多"
draft,n.,"草稿,草图,汇票"
drag,v.,拖;拽
draw,v.,"绘画;绘制;拉,拖;提取(金钱)"
drawer,n.,抽屉
drawing,n.,"图画,素描(画);绘画"
dress,n.,"女服,连衣裙;(统指)服装;童装"
dress,v.,穿衣;穿着
drill,n.,钻头;(反复的)训练
drill,vt.,"钻(孔), 在…上钻孔;重复训练"
drink,n.,饮料;喝酒 
drink,v.,"喝,饮 "
driver,n.,"司机,驾驶员"
drop,n.,滴
drop,v.,"掉下,落下;投递;放弃"
drown,vi.,溺死;淹没
drug,n.,"药,药物;毒品"
drum,n.,鼓
drunk,a.,醉的
dry,v.,使…干;弄干;擦干
dry,a.,干的;干燥的
duck,n.,鸭子
due,a.,预期的;约定的
dull,a.,阴暗的;单调无味
dumpling,n.,饺子
during,prep.,在…期间;在…过程中
dusk,n.,黄昏
dust,n.,"灰尘,尘土"
dustbin,n.,垃圾箱
dusty,a.,"尘土般的,尘土多的"
duty,n.,"责任,义务"
dynamic,a.,"动态的,有动力的,有力的"
dynasty,n.,"朝代,王朝"
eager,a.,"渴望的,热切的"
eagle,n.,鹰
ear,n.,"耳朵;耳状物;听力,听觉"
early,a.,早的
early,ad.,早地
earn,vt.,"挣得,赚得"
earth,n.,"地球;土,泥;大地"
earthquake,n.,地震
easter,n.,复活节
eastern,a.,东方的;东部的
easy,a.,"容易的,不费力的"
eat,v.,吃
ecology,n.,生态学
edge,n.,边缘
editor,n.,编辑
educate,vt.,"教育,培养"
education,n.,"教育,培养"
educator,n.,教育家
effect,n.,效果;作用
effort,n.,"努力,艰难的尝试"
egg,n.,蛋;卵
eggplant,n.,茄子
eight,num.,八
either,a.,两方任一方的;二者之一
either,conj.,二者
elder,n.,长者;前辈
electric,a.,电的
electrical,a.,电的;电器的
electricity,n.,电;电流
electronic,a.,电子的
elegant,a.,"优雅的,精美的,俊美的"
elephant,n.,象
eleven,num.,十一
else,ad.,"别的,其他的"
embarrass,v.,"使...困窘,使...局促不安,阻碍"
embassy,n.,大使馆
emergency,n.,"紧急情况或状态,突发事件"
emperor,n.,皇帝
empire,n.,帝国
employ,vt.,雇佣
empty,a.,空的
encourage,vt.,鼓励
encouragement,n.,鼓励
end,n.,末尾;终点;结束
end,v.,"结束,终止"
ending,n.,"结局;结尾,最后"
endless,a.,无止境的; 没完的
enemy,n.,敌人;敌军
energetic,a.,精力旺盛的
energy,n.,"精力,能量"
engine,n.,"发动机,引擎"
engineer,n.,工程师;技师
english,a.,"英国的,英国人的,英语的"
english,n.,英语
englishman,n.,英国人
enjoy,vt.,欣赏;享受…之乐趣;喜欢
enjoyable,a.,愉快的;有趣的
enlarge,vt.,扩大
enough,n.,足够;充足
enough,a.,足够的;充分的
enough,ad.,足够地;充分地
enquiry,n.,询问
enter,vt.,进入
enterprise,n.,"企业,事业"
entertainment,n.,娱乐
enthusiastic,a.,"热情的,热心的"
entire,a.,"整个的,全部的"
entry,n.,进入
envelope,n.,信封
environment,n.,环境
equal,a.,平等的
equal,vt.,"等于,使等于"
equality,n.,平等
equip,vt.,提供设备;装备;配备
equipment,n.,"装备,设备"
eraser,n.,橡皮擦;黑板擦
error,n.,错误;差错
erupt,v.,爆发
especially,ad.,"特别,尤其"
essay,n.,散文;文章;随笔
european,a.,"欧洲的,欧洲人的"
european,n.,欧洲人
evaluate,v.,"评估,评价"
eve,n.,"前夜,前夕"
even,ad.,"甚至,连(…都);更"
evening,n.,"傍晚,晚上"
eventually,ad.,最终地
ever,ad.,曾经;无论何时
every,a.,"每一,每个的"
everybody,pron.,"每人,人人"
everyone,pron.,"每人,人人"
everyday,a.,每日的; 日常的
everything,pron.,"每件事,事事"
everywhere,ad.,到处
evident,a.,"明显的,明白的"
evolution,n.,"进化,发展,进展"
exact,a.,精确的;确切的
exactly,ad.,精确地;确切地
examine,vt.,检查;诊察
example,n.,例子;榜样
excellent,a.,"极好的,优秀的"
except,prep.,除…之外
excite,vt.,"使兴奋,使激动"
exciting,a.,令人兴奋的
excuse,n.,借口;辩解
excuse,vt.,原谅;宽恕
exhibition,n.,展览;展览会
exist,vi.,存在
existence,n.,存在; 生存; 存在物
exit,n.,"出口,太平门"
expect,vt.,预料;盼望;认为
expectation,n.,预料;期望
expense,n.,消费; 支出
expensive,a.,昂贵的
experience,n.,经验;经历
experiment,n.,实验
expert,n.,"专家,能手"
explain,vt.,"解释,说明"
explanation,n.,"解释,说明"
explicit,a.,"明确的,详述的，明晰的,外在的"
explode,v.,(使)爆炸
exploit,vt.,"开采,开发;利用;剥削"
explore,v.,"探险,探测"
expose,vt.,揭露
expression,n.,"表达;词句;表示,说法;表情"
extension,n.,"延长,扩充,范围"
extra,a.,"额外的,外加的"
extraordinary,a.,离奇的; 使人惊奇的
extreme,a.,"极度的,极端的,尽头的,末端的"
extremely,ad.,"极其,非常"
eye,n.,眼睛
eyesight,n.,视力;视觉
face,n.,脸
face,vt.,面向;面对
facial,a.,面部用的
fact,n.,"事实,现实"
factory,n.,工厂
fade,vi.,"褪色,(颜色)消退"
fail,v.,失败;不及格;衰退
failure,n.,失败
fair 1,a.,"公平的,合理的"
fair 2,a.,(肤色)白皙的;(人)白肤金发的
fair 3,n.,集市; 庙会; 展览会
fairly,ad.,"公正地,正当地;相当(程度)地"
fairness,n.,公平;公正
faith,n.,信仰;信念
fall 1,n.,(美)秋季
fall 2,vi.,"落(下),降落;倒"
false,a.,不正确的;假的
familiar,a.,熟悉的
family,n.,家庭;家族;子女
famous,a.,著名的
fan 2,n.,风扇
farm,n.,农场;农庄
farmer,n.,农民
farther,a.,"更远的,进一步的"
fast,a.,"快的,迅速的;紧密的"
fast,ad.,"快地,迅"
fasten,vt.,扎牢;扣住
fat,n.,脂肪
fat,a.,胖的;肥的
father,n.,父亲
fault,n.,"缺点,毛病"
fax,n.,传真
fear,n.,害怕;恐惧;担忧
feast,n.,"宴会,酒席,节会"
feather,n.,羽毛
february,n.,2 月
federal,a.,中央的(政府等);联邦的
fee,n.,"费,费用"
feed,vt.,喂(养);饲(养)
feeling,n.,感情;感觉
fellow,n.,同伴;伙伴
female,a.,女的;女性的;雌性的
fence,n.,栅栏;围栏;篱笆
ferry,n.,渡船
festival,a.,"节日的,喜庆的"
festival,n.,"节日,欢宴"
fever,n.,发烧;发热
few,pron.,不多;少数 不多的;少数的
fiction,n.,"小说,虚构"
field,n.,田地;牧场;场地
fierce,a.,猛烈的
fifteen,num.,十五
fifth,num.,第五
fifty,num.,五十
fight,n.,"打架,战斗,斗志"
fight,v.,"对抗,打架"
figure,n.,数字;数目;图;图形;(人的)身型;人
file,n.,"公文柜;档案,(计算机)文档"
fill,vt.,"填空,装满"
film,n.,电影;影片;胶卷
film,vt.,"拍摄,把…拍成电影"
final,a.,最后的;终极的
finance,n.,"财政,财务"
find,vt.,"找到,发现,感到"
fine 1,a.,细的;晴朗的;美好的;(身体)健康的
finger,n.,手指
fingernail,n.,指甲
finish,v.,结束;做完
fire,n.,火; 火炉; 火灾
fire,vi.,"开火,开(枪, 炮等),射击,解雇"
fireworks,n.,焰火
first,num.,第一
first,a.,&
first,ad.,第一;首次;最初
first,n.,开始;开端
fish,n.,鱼;鱼肉
fish,vi.,钓鱼;捕鱼
fisherman,n.,渔民;钓鱼健身者
fist,n.,拳(头)
fit,a.,"健康的, 适合的"
fit,v.,"(使)适合,安装"
five,num.,五
fix,vt.,"修理;安装; 确定,决定"
flag,n.,旗;标志;旗舰
flame,n.,"火焰,光辉"
flash,n.,闪;闪光; 转瞬间
flashlight,n.,手电
flat,a.,平的
flat,n.,楼中一套房间;公寓(常用复数)
flee,v.,逃走;逃跑
flexible,a.,"灵活的,易弯曲的,柔韧的"
flesh,n.,肉
flight 1,n.,航班
flight 2,n.,楼梯的一段
float,vi.,"漂浮,浮动"
flood,n.,洪水
flood,vt.,"淹没,使泛滥"
floor,n.,"地面,地板;(楼房的)层"
flour,n.,"面粉,粉"
flow,vi.,流动
flower,n.,花
flu,n.,流行性感冒
fluency,n.,流利
fluent,a.,"流利的,流畅的"
fly,n.,飞行;苍蝇
focus,n.,"焦点,焦距"
fog,n.,雾
foggy,a.,多雾的
fold,vt.,折叠;合拢
folk,a.,民间的
follow,vt.,跟随;仿效;跟得上
fond,a.,"喜爱的,爱好的"
food,n.,"食物,食品"
fool,n.,"傻子,蠢人"
foolish,a.,"愚蠢的,傻的"
foot,n.,"足,脚;英尺"
for,prep.,"为了…;向…,往…;与…交换;;适合…;因为…;对…来说"
for,conj.,"因为,由于"
forbid,vt.,"禁止,不许"
force,vt.,"强迫,迫使"
forehead,n.,前额
foreign,a.,外国的
foreigner,n.,外国人
foresee,vt.,预见; 预知
forest,n.,森林
forever,ad.,永远;永恒的
forgetful,a.,"健忘的,不留心的"
forgive,vt.,"原谅,宽恕"
fork,n.,"叉,餐叉"
form,n.,表格;形式;结构
format,n.,"设计,版式"
format,vt.,"使格式化,设计,安排"
former,a.,"以前的,从前的;(两者之中的)前者"
fortnight,n.,"十四日,两星期"
fortunate,a.,幸运的; 侥幸的
fortunately,ad.,"幸运地,幸亏"
fortune,n.,财产;运气
forty,num.,四十
forward,ad.,"将来,今后;向前,前进"
found,vt.,"成立,建立"
fountain,n.,喷泉
four,num.,四
fourth,num.,第四
fox,n.,狐狸
franc,n.,法郎
fragile,a.,"易碎的,脆的"
fragrant,a.,"芬香的,馥郁的,愉快的"
free,a.,"自由的,空闲的;免费的"
freedom,n.,自由
freeway,n.,高速公路
freeze,vi.,结冰
freezing,a.,冻结的;极冷的
french,n.,语
french,a.,法国的;法国人的;法语的
frequent,a.,经常的;频繁的
fresh,a.,新鲜的
friction,n.,"摩擦,摩擦力"
friday,n.,星期五
friend,n.,朋友
friendly,a.,友好的
friendship,n.,"友谊,友情"
fright,n.,惊恐;恐吓
frog,n.,青蛙
from,prep.,从;从…起;距;来自
front,a.,前面的;前部的
front,n.,前面;前部;前线
frontier,n.,"前沿,边界;前线"
frost,n.,霜
fruit,n.,水果;果实
fry,vt.,用油煎;用油炸
fuel,n.,燃料
full,a.,"满的,充满的;完全的"
fun,n.,"有趣的事,娱乐,玩笑"
function,n.,"功能,函数"
function,vi.,"运行,起作用"
fundamental,a.,"基本的,根本的"
funeral,n.,葬礼
funny,a.,"有趣的,滑稽可笑的"
fur,n.,毛皮;皮子
furnished,a.,配备了家具的
furniture,n.,(总称)家具
further,a.,更远的
further,ad.,"此外,进一步地"
future,n.,将来
future,vt.,赢得;挣得
gale,n.,强风(约每小时60英里)
gallery,n.,画廊;美术品陈列室
gallon,n.,加仑
game,n.,游戏;运动;比赛
garage,n.,汽车间(库)
garbage,n.,垃圾
garden,n.,"花园,果园,菜园"
garlic,n.,大蒜
garment,n.,衣服
gas,n.,煤气
gate,n.,大门
gather,v.,聚集;采集
gay,a.,"(男)同性恋的;快活的,愉快的"
general,a.,"大体的,笼统的,总的"
generally,ad.,一般地
generation,n.,"代,一代"
generous,a.,"慷慨的,宽宏大量的"
gentle,a.,"温柔的,轻轻的"
geography,n.,地理学
geometry,n.,几何学
german,a.,"德国的,德国人的,德语的"
german,n.,"德国人,德语"
gesture,n.,"姿势,手势"
get,vt.,成为;得到;具有;到达
gift,n.,赠品; 礼物
gifted,a.,有天赋的; 有才华的
giraffe,n.,长颈鹿
girl,n.,女孩
give,vt.,给;递给;付出;给予
glad,a.,高兴的;乐意的
glance,vi.,匆匆一看; 一瞥
glare,v.,瞪眼;怒目而视;闪耀
glass,n.,玻璃杯;玻璃;(复)眼镜
globe,n.,地球仪;地球
glory,n.,巨大的光荣;荣誉;赞美
glove,n.,手套
glue,n.,胶水
go 2,n.,尝试(做某事)
goal,n.,"(足球)球门,目标"
goat,n.,山羊
god,n.,"神,(大写)上帝"
gold,n.,黄金
gold,a.,"金的,黄金的"
golden,a.,金(黄)色的
golf,n.,高尔夫球
good-bye,int.,再见;再会
goods,n.,"商品,货物"
goose,n.,鹅
govern,v.,统治; 管理
government,n.,政府
grade,n.,"等级;(中小学的)学年;成绩,分数"
gradual,a.,"逐渐的,逐步的"
gradually,ad.,逐渐地
graduate,v.,毕业
graduation,n.,"毕业,毕业典礼"
grain,n.,"谷物,谷类"
gram,n.,克(重量单位)
grammar,n.,语法
grand,a.,宏伟的
granddaughter,n.,(外)孙女
grandparents,n.,"祖父母,外祖父母"
grandson,n.,(外)孙子
granny,n.,老奶奶;祖母;外婆
grape,n.,葡萄
graph,n.,"图表,曲线图"
grasp,v.,抓住;紧握
grass,n.,草;草场;牧草
grateful,a.,"感激的,感谢的"
gravity,n.,"地心引力,重力,严重,庄重,严肃"
great,a.,伟大的;重要的;好极了
great,ad.,"(口语)好极了,很好"
greedy,a.,贪婪的
greek,n.,"希腊的,希腊人的,希腊语的 希腊人,希腊语"
green,a.,绿色的;青的
green,n.,绿色
greengrocer,n.,(英)蔬菜水果商
greet,vt.,问候; 向…致敬
greeting,n.,祝贺
grill,n.,(烧食物的)烤架
grocer,n.,零售商人;食品店
grocery,n.,杂货店
ground,n.,地面
group,n.,"组,群"
growth,n.,"生长,增长"
guard,n.,"防护装置,警戒"
guess,vi.,猜
guest,n.,"客人,宾客"
guidance,n.,"引导,指导"
guide,n.,"向导,导游者"
guilty,a.,有罪的;犯法的;做错事的
guitar,n.,"吉他,六弦琴"
gun,n.,"枪,炮"
gymnastics,n.,体操
habit,n.,"习惯,习性"
hair,n.,头发
haircut,n.,(男子)理发
hall,n.,"大厅,会堂,礼堂;过道"
ham,n.,火腿
hamburger,n.,汉堡包
hammer,n.,"锤子,锣锤"
handbag,n.,"女用皮包,手提包"
handful,n.,"(一)把; 少数,少量"
handkerchief,n.,手帕
handle,n.,"柄,把"
handle,v.,处理
handsome,a.,英俊的
handwriting,n.,书法
handy,a.,"便利的,顺手的 "
happen,vi.,(偶然)发生
happiness,n.,"幸福,愉快"
happy,a.,"幸福的;快乐的,高兴的"
hard,ad.,努力地;使劲;猛烈地
hard,a.,硬的;困难
hardly,ad.,几乎不
hardship,n.,困难
hardworking,a.,努力工作的
harmful,a.,有害的;致伤的
harmless,a.,无害的;不致伤的
hat,n.,帽子(一般指有边的);礼帽
hatch,v.,(鸟、鸡)孵蛋
have,vt.,有;吃;喝;进行;经受
he,pron.,他(主格)
head,n.,头;头脑(像);才智;首脑;源头;标题
head,a.,头部的;主要的;首席的
head,v.,率领;加标题;用头顶;出发;(船等)驶向
headache,n.,头疼
headline,n.,(报刊的)大字标题
headmaster,n.,(英)中小学校长
health,n.,"健康,卫生"
healthy,a.,"健康的,健壮的"
hear,v.,"听见;听说,得知"
hearing,n.,听力
heart,n.,心;心脏;纸牌中的红桃
heat,n.,热
heat,vt.,把…加热
heaven,n.,"天,天空"
heavy,a.,重的
heel,n.,脚后跟
height,n.,"高,高度"
helicopter,n.,直升飞机
helmet,n.,头盔
helpful,a.,"有帮助的,有益的"
hen,n.,母鸡
her,pron.,"她(宾格),她的"
herb,n.,草药
here,ad.,"这里,在这里;向这里"
hero,n.,"英雄,勇士,男主角"
hers,pron.,她的(名词性物主代词)
herself,pron.,她自己
hide,v.,"把…藏起来,隐藏"
high,a.,高的;高度的
high,ad.,高地
highway,n.,公路
hill,n.,小山;丘陵;土堆;斜坡
him,pron.,他(宾格)
himself,pron.,他自己
hire,vt.,租用
his,pron.,他的
history,n.,"历史,历史学"
hobby,n.,"业余爱好,嗜好"
hole,n.,"洞,坑"
holiday,n.,假日;假期
holy,a.,神圣的
home,n.,家
home,ad.,到家;回家
homeland,n.,祖国
hometown,n.,故乡
homework,n.,家庭作业
honest,a.,"诚实的,正直的"
honey,n.,蜂蜜
hopeful,a.,有希望的;有前途的
hopeless,a.,没有希望的;不可救药的
horrible,a.,令人恐惧的;恐怖的
horse,n.,马
hospital,n.,医院
host,n.,主人;节目主持人
host,v.,做主人招待
hostess,n.,女主人
hot,a.,热的
hot dog,phr.,热狗(红肠面包)
hotel,n.,"旅馆,饭店,宾馆"
hour,n.,小时
house,n.,房子;住宅
housework,n.,家务劳动
how,ad.,"怎样,如何;多少;多么"
howl,vi.,"嚎叫,嚎哭"
hug,n.,"紧抱,拥抱"
huge,a.,"巨大的,庞大的"
humorous,a.,富于幽默的
hundred,num.,百
hunger,n.,饥饿
hungry,a.,(饥)饿的
hunt,vt.,"寻找;狩猎,猎取"
hunter,n.,猎人
hurricane,n.,"飓风,十二级风"
hurry,vi.,赶快;急忙
husband,n.,丈夫
i,pron.,我(主格)
ice,n.,冰
ice-cream,n.,冰淇淋
idea,n.,"主意,意见,打算,想法"
identity,n.,身份
idiom,n.,"习语,成语"
if,conj.,"如果,假使;是否,是不是"
ignore,v.,"不顾,不理,忽视"
ill,a.,有病的;不健康的
illegal,a.,"不合法的,非法的"
illness,n.,疾病
imagine,vt.,"想像,设想"
immediate,a.,"立即的,马上"
immediately,ad.,立即
immigration,n.,移民
importance,n.,重要性
important,a.,重要的
impossible,a.,不可能的
impress,vt.,留下极深的印象
impression,n.,"印象,感觉"
improve,vt.,"改进,更新"
inch,n.,英寸
incident,n.,事件
include,vt.,"包含,包括"
income,n.,"收入,所得"
indeed,a.,确实; 实在
independence,n.,独立
independent,a.,独立的; 有主见的
industry,n.,"工业,产业"
infer,v.,"推论,推断"
inform,vt.,告诉; 通知
information,n.,信息
initial,a.,"开始的,最初的"
injure,vt.,"损害,伤害"
injury,n.,受伤处
ink,n.,"墨水,油墨"
inn,n.,小旅店;小饭店
innocent,a.,"无罪的,无知的,无辜的"
insect,n.,昆虫
insert,vt.,插入
inside,prep.,在…里面
inside,ad.,在里面
insist,vi.,坚持;坚决认为
inspect,vt.,检查;检验;审视
inspire,vt.,鼓舞; 激励
instant,a.,瞬间;刹那
instead,ad.,"代替,顶替"
institute,n.,"(研究)所, 院,学院"
institution,n.,(慈善、宗教等性质的)公共机构; 学校
instruct,vt.,通知; 指示;教
instruction,n.,"说明,须知;教导"
instrument,n.,"乐器;工具,器械"
insurance,n.,保险
insure,vt.,给…保险
intend,vt.,"想要,打算"
intention,n.,"意图,意向,目的"
interest,n.,"兴趣,趣味;利息"
interesting,a.,有趣的
international,a.,国际的
internet,n.,"互联网,英特网"
interpreter,n.,翻译
interrupt,v.,"打扰,打断"
interval,n.,间歇;间隔
into,prep.,到…里;向内;变成
introduce,vt.,介绍
introduction,n.,"引进,介绍"
invent,vt.,"发明,创造"
invention,n.,"发明,创造"
invitation,n.,"邀请,请帖"
invite,vt.,"邀请,招待"
iron,n.,"铁,熨斗"
iron,vt.,熨烫
irrigation,n.,灌溉
island,n.,岛
it,pron.,它
its,pron.,它的
itself,pron.,它自己
jacket,n.,"短上衣,夹克衫"
jam,n.,果酱;阻塞
january,n.,1月
japanese,a.,"日本的,日本人的,日语的"
japanese,n.,"日本人,日语"
jar,n.,罐子; 坛子
jaw,n.,下巴
jazz,n.,"爵士音乐,爵士舞曲"
jeans,n.,牛仔裤
jeep,n.,吉普车
jet,n.,喷气式飞机;喷射(器)
jewelry,n.,(总称)珠宝
job,n.,(一份)工作
jog,v.,慢跑
join,v.,"参加,加入;连接;会合"
joke,n.,笑话
journalist,n.,"记者,新闻工作者"
journey,n.,"旅行,路程"
joy,n.,"欢乐,高兴,乐趣"
judge,n.,裁判;审判员;法官
judge,vt.,"判断,断定"
judgement,n.,裁判
juice,n.,汁、液
july,n.,7月
jump,n.,跳跃;跳变
jump,v.,跳跃;惊起;猛扑
june,n.,6月
jungle,n.,"丛林,密林"
junior,a.,初级的;年少的
just 1,ad.,刚才;恰好;不过;仅
just 2,a.,公正的
justice,n.,正义; 公正;司法
kangaroo,n.,大袋鼠
kettle,n.,(烧水用的)水壶
key,n.,钥匙;答案;键;关键
keyboard,n.,键盘
kid,n.,小孩
kid,v.,"开玩笑,哄骗,嘲弄"
kill,v.,"杀死,弄死"
kilo,n.,千克;千米
kilogram,n.,千克
kilometre,n.,千米(公里)
kind,n.,种;类
kind,a.,善良的;友好的
kindergarten,n.,幼儿园
kindness,n.,仁慈;善良
king,n.,国王
kingdom,n.,王国
kitchen,n.,厨房
kite,n.,风筝
knee,n.,膝盖
knife,n.,小刀;匕首;刀片
knowledge,n.,"知识,学问"
ladder,n.,梯子
lady,n.,"女士,夫人"
lake,n.,湖
lamb,n.,羔羊
lame,a.,"跛的,瘸的 ,残废的"
lamp,n.,"灯,油灯;光源"
land,n.,陆地;土地
land,v.,登岸(陆);降落
language,n.,语言
lantern,n.,灯笼;提灯
last 1,a.,最近刚过去的;最后的
last 1,ad.,最近刚过去;最后地
last 1,n.,最后
late,a.,"晚的, 迟的"
late,ad.,"晚地, 迟地"
lately,ad.,"最近,不久前"
later,a.,"晚些的,迟些的"
latter,n.,(两者之中的)后者
laughter,n.,笑; 笑声
laundry,n.,洗衣店; 要洗的衣服
law,n.,"法律, 法令; 定律"
lawyer,n.,律师
lay,vt.,"放,搁"
lazy,a.,懒惰的
leader,n.,"领袖,领导人"
leaf,n.,"(树,菜)叶"
league,n.,"联盟,社团"
leak,vi.,漏; 渗
least,n.,"最少,最少量"
leather,n.,皮革
leave,v.,"离开;把…留下,剩下"
lecture,n.,"讲课,演讲"
left,a.,左边的
left,ad.,向左
left,n.,"左,左边"
leg,n.,腿;腿脚;支柱
lemon,n.,柠檬
lemon,a.,柠檬色(味)的
lemonade,n.,柠檬水
lend,vt.,"借(出),把…借给"
length,n.,"长,长度,段,节"
lesson,n.,课;功课;教训
let,vt.,让
letter,n.,信;字母
level,n.,"水平线,水平"
liberate,vt.,"解放, 使获自由"
liberation,n.,解放
liberty,n.,自由
librarian,n.,图书管理员; 图书馆馆长
library,n.,"图书馆,图书室"
license,n.,"执照,许可证"
lid,n.,盖子
lifetime,n.,"一生,终生"
lift 1,v.,"举起,抬起;(云、烟等)消散"
lift 2,n.,(英) 电梯
light,n.,"光, 光亮; 灯,灯光"
light,vt.,"点(火),点燃"
light,a.,明亮的;轻的;浅色的
limit,vt.,限制;减少
link,v.,连接; 联系
link,n.,"环节,联系"
lion,n.,狮子
lip,n.,嘴唇
list,n.,"一览表,清单"
listen,vi.,"听,仔细听"
literature,n.,文学
literary,a.,文学的
litter,v.,乱丢杂物
live 1,vi.,生活;居住;活着
live 2,a.,"活的,活着的;实况,现场(直播)的"
lively,a.,活泼的; 充满生气的
living,a.,活着的
living,n.,生计
living-room,n.,起居室
load,n.,"担子,货物"
loaf,n.,一个面包
local,a.,当地的; 地方的
